"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Oc1","Header_3__-MolexPicoBlade","3709.213mil","3480mil","3660mil","3480mil","3660mil","3480mil","T","360.00","Open Collector"
"Pot1","Header_3__-MolexPicoBlade","2895.787mil","1450mil","2945mil","1450mil","2945mil","1450mil","T","180.00","Potentiometer"
"Pot2","Header_3__-MolexPicoBlade","3300.787mil","1450mil","3350mil","1450mil","3350mil","1450mil","T","180.00","Potentiometer"
"Pot3","Header_3__-MolexPicoBlade","4820mil","1665.787mil","4820mil","1715mil","4820mil","1715mil","T","270.00","Potentiometer"
"Pot4","Header_3__-MolexPicoBlade","4820mil","2070.787mil","4820mil","2120mil","4820mil","2120mil","T","270.00","Potentiometer"
"Pot5","Header_3__-MolexPicoBlade","4820mil","2475.787mil","4820mil","2525mil","4820mil","2525mil","T","270.00","Potentiometer"
"Pot6","Header_3__-MolexPicoBlade","4820mil","2880.787mil","4820mil","2930mil","4820mil","2930mil","T","270.00","Potentiometer"
"Q1_IRFS1","D2PAK-7Pin","3625mil","3238.543mil","3775mil","3057.441mil","3775mil","3057.441mil","B","180.00","IRFS7530"
"Q1_IRFS2","D2PAK-7Pin","1585mil","3208.543mil","1735mil","3027.441mil","1735mil","3027.441mil","B","180.00","IRFS7530"
"Q2_IRFS1","D2PAK-7Pin","3625mil","2466.102mil","3775mil","2285mil","3775mil","2285mil","B","180.00","IRFS7530"
"Q2_IRFS2","D2PAK-7Pin","1585mil","2436.102mil","1735mil","2255mil","1735mil","2255mil","B","180.00","IRFS7530"
"Q3_IRFS1","D2PAK-7Pin","4135mil","3238.543mil","4285mil","3057.441mil","4285mil","3057.441mil","B","180.00","IRFS7530"
"Q3_IRFS2","D2PAK-7Pin","2095mil","3208.543mil","2245mil","3027.441mil","2245mil","3027.441mil","B","180.00","IRFS7530"
"Q4_IRFS1","D2PAK-7Pin","4135mil","2466.102mil","4285mil","2285mil","4285mil","2285mil","B","180.00","IRFS7530"
"Q4_IRFS2","D2PAK-7Pin","2095mil","2436.102mil","2245mil","2255mil","2245mil","2255mil","B","180.00","IRFS7530"
"Q5_IRFS1","D2PAK-7Pin","4645mil","3238.543mil","4795mil","3057.441mil","4795mil","3057.441mil","B","180.00","IRFS7530"
"Q5_IRFS2","D2PAK-7Pin","2605mil","3208.543mil","2755mil","3027.441mil","2755mil","3027.441mil","B","180.00","IRFS7530"
"Q6_IRFS1","D2PAK-7Pin","4645mil","2466.102mil","4795mil","2285mil","4795mil","2285mil","B","180.00","IRFS7530"
"Q6_IRFS2","D2PAK-7Pin","2605mil","2436.102mil","2755mil","2255mil","2755mil","2255mil","B","180.00","IRFS7530"
"R1","1608[0603]","4590mil","3385mil","4590mil","3385mil","4590mil","3412.559mil","T","270.00","120"
"R2","1608[0603]","4535mil","3385mil","4535mil","3385mil","4535mil","3412.559mil","T","270.00","120"
"R3","1608[0603]","2030mil","2235mil","2030mil","2235mil","2030mil","2262.559mil","T","270.00","120"
"R4","1608[0603]","2100mil","2230mil","2100mil","2230mil","2100mil","2257.559mil","T","270.00","120"
"R5","1608[0603]","2705mil","2045mil","2705mil","2045mil","2732.559mil","2045mil","T","180.00","4.7K"
"R6","1608[0603]","3005mil","2450mil","3005mil","2450mil","3005mil","2477.559mil","T","270.00","4.7K"
"R7","1608[0603]","2320mil","3400mil","2320mil","3400mil","2320mil","3372.441mil","T","90.00","4.7K"
"R8","1608[0603]","2704.882mil","1935mil","2704.882mil","1935mil","2732.441mil","1935mil","T","180.00","1K"
"R9","1608[0603]","3300mil","3395mil","3300mil","3395mil","3300mil","3422.559mil","T","270.00","120"
"R10","1608[0603]","3250mil","3395mil","3250mil","3395mil","3250mil","3422.559mil","T","270.00","120"
"R11","1608[0603]","2895mil","1530mil","2895mil","1530mil","2895mil","1557.559mil","T","270.00","180"
"R12","1608[0603]","2945mil","1530mil","2945mil","1530mil","2945mil","1557.559mil","T","270.00","330"
"R13","1608[0603]","3305mil","1530mil","3305mil","1530mil","3305mil","1557.559mil","T","270.00","180"
"R14","1608[0603]","3355mil","1530mil","3355mil","1530mil","3355mil","1557.559mil","T","270.00","330"
"R15","1608[0603]","4690mil","1620mil","4690mil","1620mil","4662.441mil","1620mil","T","360.00","180"
"R16","1608[0603]","4690mil","1670mil","4690mil","1670mil","4662.441mil","1670mil","T","360.00","330"
"R17","1608[0603]","4732.559mil","3335mil","4732.559mil","3335mil","4760.118mil","3335mil","T","180.00","120"
"R18","1608[0603]","4735mil","2070mil","4735mil","2070mil","4707.441mil","2070mil","T","360.00","180"
"R19","1608[0603]","4735mil","2120mil","4735mil","2120mil","4707.441mil","2120mil","T","360.00","330"
"R20","1608[0603]","3820mil","3237.441mil","3820mil","3237.441mil","3792.441mil","3237.441mil","T","360.00","470"
"R21","1608[0603]","4732.559mil","3285mil","4732.559mil","3285mil","4760.118mil","3285mil","T","180.00","120"
"R22","1608[0603]","3685mil","3237.441mil","3685mil","3237.441mil","3657.441mil","3237.441mil","T","360.00","470"
"R23","1608[0603]","4735mil","2475mil","4735mil","2475mil","4707.441mil","2475mil","T","360.00","180"
